frequency_hz,decibels
2451.464355,100.218
2469.22876,100.192
2487.121826,100.31
2505.144531,100.568
2523.297852,100.582
2541.582764,100.456
2560,100.705
2578.550781,100.785
2597.236084,100.948
2616.056641,101.123
2635.013672,101.487
2654.108154,101.446
2673.34082,101.608
2692.713135,101.913
2712.225586,101.917
2731.879395,101.772
2751.675781,101.741
2771.615479,101.204
2791.699707,101.224
2811.929688,100.932
2832.305908,100.995
2852.830078,101.333
2873.50293,101.613
2894.325439,101.138
2915.298828,101.534
2936.424316,101.387
2957.702881,101.764
2979.135742,102.147
3000.723633,102.37
3022.468262,102.213
3044.370117,102.124
3066.430908,102.153
3088.651611,101.971
3111.033203,101.743
3133.577148,101.26
3156.28418,100.754
3179.156006,100.805
3202.193359,100.838
3225.397949,100.928
3248.770508,100.822
3272.3125,101.232
3296.024902,101.437
3319.90918,102.121
3343.966797,102.719
3368.198486,102.671
3392.605713,102.399
3417.189941,102.419
3441.952393,101.703
3466.894287,100.501
3492.016846,99.738
3517.321289,99.824
3542.809326,100.096
3568.481934,100.727
3594.340576,101.343
3620.386719,102.173
3646.621582,102.635
3673.046387,102.845
3699.662842,102.79
3726.472168,101.806
3753.475586,100.844
3780.675049,100.108
3808.071289,99.399
3835.666016,98.729
3863.460938,99.882
3891.457275,100.748
3919.65625,101.957
3948.059814,102.762
3976.668945,102.888
4005.485596,102.06
4034.510986,101.006
4063.746582,100.249
4093.194336,99.913
4122.855469,100.035
4152.730957,100.097
4182.82373,100.416
4213.133789,101.2
4243.664062,101.785
4274.415527,102.082
4305.389648,101.666
4336.588379,101.365
4368.013184,100.676
4399.665527,100.069
4431.547363,99.39
4463.660156,99.668
4496.005371,100.201
4528.585449,99.86
4561.401367,99.997
4594.455078,100.449
4627.748535,100.775
4661.283203,100.239
4695.060547,99.4
4729.083008,98.277
4763.352051,98.07
4797.869141,98.622
4832.636719,99.164
4867.655762,98.941
4902.928711,98.745
4938.45752,98.319
4974.243652,98.328
5010.289062,98.286
5046.595703,98.09
5083.165527,97.802
5120,97.782
5157.101562,97.848
5194.472168,97.731
5232.113281,97.689
5270.027344,97.764
5308.216309,98.465
5346.681641,99.017
5385.42627,98.643
5424.451172,97.993
5463.758789,97.075
5503.351562,97.446
5543.230957,98.247
5583.399414,98.659
5623.859375,98.632
5664.611816,98.523
5705.660156,98.373
5747.005859,97.603
5788.650879,96.646
5830.597656,96.898
5872.848633,98.287
5915.405762,98.306
5958.271484,97.678
6001.447266,97.561
6044.936523,96.983
6088.740234,96.494
6132.861816,96.168
6177.303223,95.974
6222.066406,96.562
6267.154297,97.246
6312.568359,96.189
6358.312012,94.921
6404.386719,95.24
6450.795898,95.248
6497.541016,94.341
6544.625,95.105
6592.049805,95.801
6639.818359,94.776
6687.933594,93.757
6736.396973,93.39
6785.211426,93.878
6834.379883,93.996
6883.904785,93.614
6933.788574,94.17
6984.033691,94.134
7034.642578,93.854
7085.618652,93.271
7136.963867,93.624
7188.681152,93.162
7240.773438,93.661
7293.243164,94.498
7346.092773,93.7
7399.325684,92.448
