frequency_hz,decibels
13867.57715,82.218
13968.06738,82.249
14069.28516,82.319
14171.23731,82.432
14273.92773,82.588
14377.36231,82.791
14481.54688,83.044
14586.48633,83.347
14692.18555,83.7
14798.65137,84.094
14905.88867,84.51
15013.90234,84.918
15122.7002,85.273
15232.28516,85.52
15342.66406,85.601
15453.84375,85.469
15565.8291,85.104
15678.625,84.537
15792.23926,83.862
15906.67578,83.248
16021.94238,82.907
16138.04395,82.991
16254.98633,83.486
16372.77734,84.24
16491.42188,85.067
16610.92383,85.811
16731.29492,86.35
16852.53516,86.574
16974.65625,86.385
17097.66211,85.724
17221.55859,84.634
17346.35352,83.323
17472.05273,82.121
17598.66211,81.269
17726.18945,80.754
17854.64063,80.425
17984.02148,80.169
18114.3418,79.943
18245.60547,79.745
18377.82031,79.586
18510.99414,79.474
18645.13281,79.411
18780.24219,79.389
18916.33203,79.393
19053.4082,79.406
19191.47656,79.408
19330.54688,79.38
19470.62305,79.31
19611.71484,79.197
19753.83008,79.057
19896.97461,78.93
